Embedding,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
TFIDF,0.8891,0.8789,0.9026,0.8906,0.9592,14.23
GLOVE,0.8718,0.8993,0.8374,0.8672,0.9468,368.05
WORD2VEC,0.8311,0.8994,0.7456,0.8153,0.9219,104.57
