Embedding,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
Word2Vec,0.8965,0.8983323287120756,0.8942,0.8962614012228125,0.95891846,1166.0495986938477
TF-IDF,0.8914,0.88875645609853,0.8948,0.8917679888379509,0.9591577999999998,130.1765992641449
GloVe,0.865,0.8727532679738562,0.8546,0.8635812449474535,0.94153964,2205.658472061157
