Embedding,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
TF-IDF,0.8905,0.8814221527642118,0.9024,0.8917877260598873,0.95951258,64.4334568977356
GloVe,0.7124,0.6478696741854637,0.9306,0.7639139714332622,0.7357761999999999,216.43271684646606
Word2Vec,0.5504,0.8433242506811989,0.1238,0.21590512731077782,0.69734854,136.86129212379456
